Set,Price_Euro,Pieces,Minifigs
Rapunzel's Small Tower,9.99,44,1
Enchanted Treehouse,48.73,302,3
Anna's Canoe Expedition,19.99,108,2
Elsa and the Reindeer Carriage,29.99,116,1
Arendelle Castle Village,79.99,521,3
Elsa's Jewellery Box Creation,39.99,300,1
Olaf,14.61,122,NaN
Underwater Loop,29.23,389,2
Andrea's Heart Box,7.99,84,1
Emma's Heart Box,7.99,85,1
Stephanie's Heart Box,7.99,85,1
Olivia's Heart Box,7.99,85,2
Mia's Heart Box,7.99,83,1
Heart Box Friendship Pack,19.99,199,2
Emma's Mobile Veterinary Clinic ,9.74,50,1
Mia's Foal Stable ,19.49,118,1
Heartlake City Supermarket,29.23,140,2
Mia's Forest Adventure,14.99,134,1
Stephanie's Buggy & Trailer ,19.99,166,1
Emma's Art Studio,24.99,235,2
Olivia's Cupcake Cafe,29.23,335,2
Stephanie's Horse Jumping,38.98,337,2
Andrea's Talent Show,49.99,492,2
Mia's House,68.23,715,3
Mia's Horse Trailer,29.23,216,2
Stephanie's Gymnastics Show,29.23,241,2
Funny Octopus Ride,38.98,324,2
Andrea's Pool Party,48.73,468,2
Heartlake City Amusement Pier,126.71,1251,7
Turtles Rescue Mission,19.49,225,2
Dolphins Rescue Mission,38.98,363,2
Heartlake City Restaurant,58.48,624,3
Lighthouse Rescue Centre,58.48,602,2
Rescue Mission Boat,87.72,908,4
LEGO Friends Advent Calendar,24.99,330,3
Olivia's Hamster Playground,9.74,81,1
Andrea's Summer Heart Box,7.99,83,1
Emma's Summer Heart Box,7.99,86,1
Stephanie's Summer Heart Box,7.99,95,1
Olivia's Summer Heart Box,7.99,93,2
Mia's Summer Heart Box,7.99,85,1
Emmet,NaN,113,NaN
Wyldstyle,NaN,134,NaN
Benny,NaN,103,NaN
Sweet Mayhem,NaN,137,NaN
Cherry Picker,9.74,155,NaN
Power Boat,14.99,174,NaN
Getaway Truck,19.99,128,NaN
Police Pursuit,19.49,120,NaN
Rescue Helicopter,29.99,325,NaN
Chevrolet Corvette ZR1,39.99,579,NaN
Tracked Loader,59.99,827,NaN
Remote-Controlled Stunt Racer,79.99,324,NaN
Porsche 911 RSR,199.99,1580,NaN
Compact Crawler Crane,87.72,920,NaN
Car Transporter,149.99,2493,NaN
4x4 X-Treme Off-Roader,229.99,958,NaN
Liebherr R 9800,449.99,4108,NaN
Land Rover Defender,199.99,2573,NaN
Elsa's Ice Palace,69.99,701,7
City Shaper Challenge Kit,NaN,2238,1
BOOMTOWN BUILD Inspire Set,NaN,739,NaN
BOOMTOWN BUILD Discovery Set,NaN,78,4
Ski Resort,77.97,806,11
Jet Patrol,9.74,54,2
Sky Police Drone Chase,19.49,192,3
Parachute Arrest,29.23,218,4
Diamond Heist,49.99,400,4
Air Base,73.1,529,6
Barbecue Burn Out,9.74,64,2
Dock Side Fire,14.61,97,2
Burger Bar Fire Rescue,29.99,327,3
Fire Station,59.99,509,4
Downtown Fire Brigade,99.99,943,7
Fire Plane,38.98,363,3
Desert Rally Racer,9.99,75,1
Construction Loader,9.99,88,1
Garbage Truck,19.99,90,2
Diving Yacht,19.99,148,2
Snow Groomer,19.49,197,2
Harvester Transport,29.99,358,3
Satellite Service Mission,9.74,84,1
Rover Testing Drive,19.49,202,2
Mars Research Shuttle,29.99,273,2
Lunar Space Station,48.73,412,5
Deep Space Rocket and Launch Control,99.99,837,7
Rocket Assembly & Transport,129.99,1055,8
People Pack - Space Research and Development,38.98,209,15
Fire Chief Response Truck,19.49,201,2
Garage Centre,38.98,234,4
Donut Shop Opening,79.99,790,10
People Pack - Fun Fair,38.98,183,14
LEGO City Advent Calendar,19.99,234,8
Straight & T-Junction ,9.74,2,NaN
Curves & Crossroad,9.74,2,NaN
Police Patrol Car,9.99,92,1
Kayak Adventure,9.99,84,1
Super Pack 3-in-1,NaN,NaN,NaN
Super Pack 2-in-1 ,NaN,NaN,NaN
Super Pack 2-in-1 ,NaN,NaN,NaN
Bonus/Value pack,NaN,218,NaN
Bonus/Value pack,NaN,125,NaN
2-in-1 Value Pack: Star-Lord & Gamora,NaN,249,NaN
Super Pack 3-in-1,NaN,NaN,NaN
Super Pack 3-in-1,NaN,NaN,NaN
Super Pack 3-in-1,NaN,NaN,NaN
J.B.'s Ghost Lab,19.99,174,3
Wrecked Shrimp Boat,29.23,310,4
Graveyard Mystery,29.23,335,4
El Fuego's Stunt Truck,38.98,428,4
Shrimp Shack Attack,48.73,579,5
Paranormal Intercept Bus 3000,58.48,689,5
Ghost Train Express,77.97,698,6
Newbury Haunted High School,116.97,1474,8
Spinjitzu Kai,9.99,97,1
Spinjitzu Jay,9.99,97,1
Spinjitzu Zane,9.99,109,1
Spinjitzu Cole,9.99,117,1
Spinjitzu Nya & Wu,19.99,227,2
Spinjitzu Lloyd vs. Garmadon,19.99,208,2
The Samurai Mech,14.61,154,3
The Golden Dragon,19.49,171,3
Kai's Blade Cycle & Zane's Snowmobile,29.99,376,4
Jay's Storm Fighter,38.98,490,4
Cole's Earth Driller ,49.99,587,4
Monastery of Spinjitzu,77.97,1070,8
Lloyd's Journey,14.61,81,2
Cole's Dirt Bike,19.49,212,3
Shuricopter,29.23,361,3
Fire Fang,43.86,463,4
Katana 4X4,48.73,450,5
Lloyd's Titan Mech,68.23,876,6
Land Bounty,126.71,1178,9
Castle of the Forsaken Emperor,97.47,1218,7
The Ultra Dragon,87.72,951,6
Monastery Training,9.99,122,2
Spinjitzu Slam - Lloyd,9.74,70,1
Spinjitzu Slam - Jay,9.74,72,1
Spinjitzu Slam - Zane,9.99,63,1
Spinjitzu Slam - Kai vs. Samurai,19.49,164,2
LEGO Movie Maker,49.99,482,6
Emmet and Benny's 'Build and Fix' Workshop!,19.99,117,2
Unikitty's Sweetest Friends EVER!,9.99,76,3
Emmet's Thricycle!,14.99,174,1
Introducing Queen Watevra Wa'Nabi,19.99,115,4
Queen Watevra's Build Whatever Box!,39.99,455,NaN
Rex's Rex-treme Offroader!,29.99,236,2
Ultrakatty & Warrior Lucy!,29.99,348,2
Pop-Up Party Bus,89.99,1024,4
Emmet and Lucy's Escape Buggy!,49.99,550,4
Sweet Mayhem's Systar Starship!,69.99,502,3
Emmet's Dream House/Rescue Rocket!,59.99,706,4
Emmet's Builder Box!,29.99,125,1
Lucy's Builder Box!,29.99,141,2
MetalBeard's Heavy Metal Motor Trike!,59.99,461,2
Rex's Rexplorer!,119.99,1187,2
Battle-Ready Batman and MetalBeard,19.99,168,2
Shimmer & Shine Sparkle Spa!,69.99,691,8
Queen Watevra's 'So-Not-Evil' Space Palace,99.99,995,5
The Rexcelsior!,149.99,1826,4
Welcome to Apocalypseburg!,299.99,3178,13
Benny's Space Squad,9.99,68,5
Emmet's Triple-Decker Couch Mech,29.99,312,3
Good Morning Sparkle Babies!,9.99,50,4
Systar Party Crew,19.99,196,2
Wyld-Mayhem Star Fighter,49.99,405,4
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},NaN,NaN,NaN
Awesome Remix Emmet,NaN,7,1
Battle-Ready Lucy,NaN,8,1
Apocalypse Benny,NaN,8,1
Giraffe Guy,NaN,6,1
Crayon Girl,NaN,6,1
Sherry Scratchen-Post & Scarfield,NaN,6,1
Hula Lula,NaN,8,1
Watermelon Dude,NaN,6,1
Flashback Lucy,NaN,7,1
Swamp Creature,NaN,6,1
Candy Rapper,NaN,8,1
Gone Golfin' President Business,NaN,6,1
Apocalypseburg Abe,NaN,7,1
Vest Friend Rex,NaN,6,1
Kitty Pop,NaN,7,1
Dorothy Gale & Toto,NaN,7,1
Cowardly Lion,NaN,6,1
Scarecrow,NaN,6,1
Tin Man,NaN,8,1
Unikitty,NaN,15,1
LEGO Minifigures - The LEGO Movie 2 Series - Complete,NaN,144,20
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,3.99,NaN,NaN
LEGO Minifigures - Disney Series 2 {Random bag},NaN,NaN,NaN
Vintage Mickey,3.99,6,1
Vintage Minnie,3.99,7,1
Huey Duck,3.99,7,1
Dewey Duck,3.99,7,1
Louie Duck,3.99,8,1
Scrooge McDuck,3.99,8,1
Chip,3.99,6,1
Dale,3.99,5,1
Elsa,3.99,7,1
Anna,3.99,8,1
Jafar,3.99,8,1
Jasmine,3.99,6,1
Hades,3.99,6,1
Hercules,3.99,8,1
Sally,3.99,7,1
Jack Skellington,3.99,10,1
Edna Mode,3.99,8,1
Frozone,3.99,7,1
LEGO Minifigures - Disney Series 2 - Complete,NaN,129,18
LEGO Minifigures - Disney Series 2 - Sealed Box,3.99,NaN,NaN
LEGO Minifigures - Series 19 {Random Bag},NaN,NaN,NaN
Video Game Champ,NaN,7,1
Shower Guy,NaN,8,1
Fright Knight,NaN,9,1
Monkey King,NaN,12,1
Programmer,NaN,10,1
Mummy Queen,NaN,6,1
Jungle Explorer,NaN,8,1
Fire Fighter,NaN,6,1
Dog Sitter,NaN,9,1
Pizza Costume Guy,NaN,6,1
Galactic Bounty Hunter,NaN,8,1
Gardener,NaN,7,1
Rugby Player,NaN,6,1
Fox Costume Girl,NaN,8,1
Bear Costume Guy,NaN,7,1
Mountain Biker,NaN,10,1
LEGO Minifigures - Series 19 - Complete,3.99,127,16
LEGO Minifigures - Series 19 - Sealed Box,NaN,NaN,NaN
Disney Train and Station,329.99,2925,5
Naboo Starfighter Microfighter,9.99,62,1
